Parameter,Description,Default,GEN-69VSW12,GEN-B0Q5F42,GEN-69VSW12;mec-4,GEN-B0Q5F42;mec-4,GEN-69VSW12;str-2,GEN-B0Q5F42;str-2,flies
lie_multiplier,degree of P-value expansion at early iterations,4,,,,,,,
max_iter,maximum number of iterations,1000,,,,,,,
epsilon,initial learning rate,500,,,,,,,
min_gain,minimum gain for delta-bar-delta,0.01,,,,,,,
tsne_readout,readout variable for t-SNE,1,,,,,,,
embedding_batchSize,embedding batchsize,20000,,,,,,,
maxOptimIter,maximum number of iterations for the Nelder-Mead algorithm,100,,,,,,,
trainingSetSize,number of points in the training set,55000,,,,,,,
kdNeighbors,local neighborhood definition in training set creation,5,,,,,,,
training_relTol,t-SNE training set stopping critereon,2.00E-03,,,,,,,
training_perplexity,t-SNE training set perplexity,20,,,,,,,
training_numPoints,number of points to evaluate in each training set file,10000,,,,,,,
minTemplateLength,minimum training set template length,1,,,,,,,
subsamplingIterations,number of iterataions of t-SNE to perform to subsample,10,,,,,,,
